Country,Lat,Long,Country Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominica,15.414999,-61.370976,DMA,CO2 emissions (kt),60,60,80,80,80,100,80,100,110,110,130,150,119.999997317791,140.000000596046,159.999996423721,159.999996423721,170.000001788139,180.000007152557,180.000007152557,500,180.000007152557,180.000007152557,250,170.000001788139,180.000007152557,180.000007152557,180.000007152557,170.000001788139,170.000001788139,170.000001788139
Denmark,56.26392,9.501785,DNK,CO2 emissions (kt),52090,62800,57030,59360,63200,60000,73340,63650,59710,56730,52600,54250,53840.0001525879,59229.9995422363,53729.9995422363,50200.0007629395,58130.0010681152,53409.9998474121,50130.0010681152,47930.0003051758,48119.9989318848,43099.9984741211,38220.0012207031,39959.9990844727,35819.9996948242,33700.0007629395,35319.9996948242,33130.0010681152,33130.0010681152,29700.0007629395
Dominican Republic,18.735693,-70.162651,DOM,CO2 emissions (kt),7860,8230,9620,9520,11140,11840,12730,14500,16620,17790,18670,18980,20879.9991607666,18729.9995422363,17280.0006866455,18690.0005340576,20370.0008392334,20629.9991607666,20579.9999237061,19659.9998474121,20680.0003051758,20909.9998474121,21680.0003051758,21290.0009155273,21450.0007629395,23590.0001525879,24590.0001525879,23549.9992370605,25309.9994659424,27229.9995422363
Algeria,28.033886,1.659626,DZA,CO2 emissions (kt),62940,66430,66840,72220,73610,76440,76120,74430,74650,77510,80050,78650,82400.0015258789,88190.0024414063,89489.9978637695,94190.0024414063,99809.9975585938,102750,107750,112169.998168945,114180.000305176,120790.000915527,134929.992675781,139020.004272461,147740.005493164,156270.004272461,154910.003662109,158339.996337891,165539.993286133,171250
Ecuador,-1.831239,-78.183406,ECU,CO2 emissions (kt),15420,15740,16850,16950,18800,20920,24000,24950,24470,21610,22050,24250,24170.0000762939,24659.9998474121,26180.0003051758,28219.9993133545,30129.9991607666,30639.9993896484,31690.0005340576,34500,37250,37099.9984741211,37090.0001525879,39700.0007629395,41799.9992370605,41520.0004577637,39810.001373291,38549.9992370605,40139.9993896484,39290.0009155273
Egypt,26.820553,30.802498,EGY,CO2 emissions (kt),87750,89370,90900,92660,87900,93720,98940,106060,110980,116540,114610,126700,129440.002441406,133020.004272461,144500,162220.001220703,170750,183399.993896484,189940.002441406,197660.003662109,200309.997558594,205770.004272461,215000,213860.000610352,219119.995117188,226279.998779297,231229.995727539,242229.995727539,247910.003662109,249369.995117188
Eritrea,15.179384,39.782334,ERI,CO2 emissions (kt),N/A,N/A,440,630,730,800,870,830,610,650,640,700,680.000007152557,689.999997615814,680.000007152557,600.000023841858,519.999980926514,509.999990463257,449.999988079071,469.999998807907,500,569.999992847443,620.000004768372,639.999985694885,649.999976158142,649.999976158142,660.000026226044,720.000028610229,850.000023841858,879.999995231628
Spain,40.463667,-3.74922,ESP,CO2 emissions (kt),214950,222100,232370,218080,228450,240570,230110,248600,256220,278300,293310,294790,312750,318660.003662109,335559.997558594,350500,341779.998779297,354679.992675781,324269.989013672,287489.990234375,273250,274399.993896484,269269.989013672,242809.997558594,240960.006713867,256279.998779297,247029.998779297,263450.012207031,257040.008544922,239979.995727539
Estonia,58.595272,25.013607,EST,CO2 emissions (kt),35280,31540,23820,18340,17820,16260,17200,16770,16240,15290,14920,15380,14949.9998092651,16940.0005340576,17020.0004577637,17229.9995422363,15979.9995422363,19979.9995422363,18399.9996185303,15050.0001907349,19000,18170.0000762939,16889.9993896484,19319.9996948242,17940.0005340576,15539.999961853,15989.9997711182,16709.9990844727,15319.9996948242,10180.0003051758
Ethiopia,9.145,40.489673,ETH,CO2 emissions (kt),2310,2330,1520,1940,2260,2570,2870,3060,3230,3180,3560,4400,4570.00017166138,5019.99998092651,5329.99992370605,5050.00019073486,5400.00009536743,5960.00003814697,6489.99977111816,6530.00020980835,6469.99979019165,7539.99996185303,8479.99954223633,10079.9999237061,12340.0001525879,12890.0003433228,14970.0002670288,15819.9996948242,17239.9997711182,18360.0006103516
